topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 0.10042689199997312, ""_ts"": 1616701361560}]",0,0,1616701361.540524,0.10434103012084961
l99/${deviceId}/evt/read,"[{""address"": ""%M55.5"", ""keys"": [""metric.printer_time""], ""value"": 0, ""_ts"": 1616701361561}]",0,0,1616701361.5436301,0.0031061172485351562
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0, ""_ts"": 1616701361562}]",0,0,1616701361.54412,0.0004899501800537109
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""print_job_with_dancer_arm"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 568.36066593, ""updated"": 577.649710929, ""count"": 921}}, ""cpu_time"": 577.622112549, ""utc_time"": 1616701361.5298967, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701361562}",0,0,1616701361.544636,0.0005159378051757812
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 0, ""_ts"": 1616701361563}, {""address"": ""%Q0.4"", ""keys"": [""OUT5"", ""tamp.air_assist"", ""J5.1"", ""SX2.P4""], ""value"": 1, ""_ts"": 1616701361563}]",0,0,1616701361.545148,0.0005118846893310547
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.5"", ""keys"": [""OUT6"", ""tamp.vacuum"", ""J5.2"", ""SX2.P5""], ""value"": 1, ""_ts"": 1616701361563}]",0,0,1616701361.54576,0.0006120204925537109
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0.10150782400000935, ""_ts"": 1616701361659}]",0,0,1616701361.639445,0.09368515014648438
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 1, ""_ts"": 1616701361660}]",0,0,1616701361.642596,0.00315093994140625
l99/${deviceId}/evt/read,"[{""address"": ""%M55.2"", ""keys"": [""metric.fault_count""], ""value"": 28, ""_ts"": 1616701367597}]",0,0,1616701367.6689641,6.026368141174316
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.4"", ""keys"": [""OUT5"", ""tamp.air_assist"", ""J5.1"", ""SX2.P4""], ""value"": 0, ""_ts"": 1616701367598}, {""address"": ""%Q0.5"", ""keys"": [""OUT6"", ""tamp.vacuum"", ""J5.2"", ""SX2.P5""], ""value"": 0, ""_ts"": 1616701367598}, {""address"": ""%Q0.9"", ""keys"": [""OUT10"", ""andon.green"", ""J3.P7"", ""SX2.P9""], ""value"": 0, ""_ts"": 1616701367598}, {""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 1, ""_ts"": 1616701367598}, {""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 0, ""_ts"": 1616701367598}]",0,0,1616701367.672085,0.003120899200439453
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 568.36066593, ""updated"": 583.687494415, ""count"": 1520}, ""1"": {""description"": ""print end signal not received"", ""hard"": true, ""added"": 583.650755984, ""updated"": 583.650758521, ""count"": 1}}, ""cpu_time"": 583.66287261, ""utc_time"": 1616701367.570657, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701367599}",0,0,1616701367.6726809,0.0005958080291748047
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 1, ""_ts"": 1616701367599}]",0,0,1616701367.673185,0.0005042552947998047
l99/${deviceId}/cmd/runstate/action=stop,{},0,0,1616701372.0720599,4.398874759674072
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 100, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 588.177058175, ""utc_time"": 1616701372.0848436, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701372124}",0,0,1616701372.107104,0.035044193267822266
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 0, ""_ts"": 1616701372125}]",0,0,1616701372.107471,0.0003669261932373047
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 200, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 588.193834715, ""utc_time"": 1616701372.1016192, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701372125}",0,0,1616701372.1077352,0.00026416778564453125
l99/${deviceId}/cmd/runstate/action=run,{},0,0,1616701373.255753,1.1480178833007812
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 300, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 589.674813238, ""utc_time"": 1616701373.5825944, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701373625}",0,0,1616701373.711946,0.4561929702758789
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 0, ""_ts"": 1616701373626}]",0,0,1616701373.712428,0.0004820823669433594
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 589.68802989, ""utc_time"": 1616701373.5958114, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701373626}",0,0,1616701373.713036,0.0006079673767089844
l99/${deviceId}/evt/read,"[{""address"": ""%M55.2"", ""keys"": [""metric.fault_count""], ""value"": 29, ""_ts"": 1616701373626}]",0,0,1616701373.7134259,0.0003898143768310547
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 1, ""_ts"": 1616701373627}]",0,0,1616701373.7139132,0.00048732757568359375
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 589.695092184, ""updated"": 589.708249559, ""count"": 2}, ""14"": {""description"": ""no printer data"", ""hard"": true, ""added"": 589.695419421, ""updated"": 589.695420921, ""count"": 1}}, ""cpu_time"": 589.705244925, ""utc_time"": 1616701373.6130266, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701373627}",0,0,1616701373.7142599,0.0003466606140136719
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 1, ""_ts"": 1616701373627}]",0,0,1616701373.714776,0.0005161762237548828
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 50, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 589.710215445, ""utc_time"": 1616701373.6179974, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701373627}",0,0,1616701373.7150981,0.00032210350036621094
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 100, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 589.717938102, ""utc_time"": 1616701373.6257193, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701373628}",0,0,1616701373.715403,0.00030493736267089844
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 0, ""_ts"": 1616701373725}]",0,0,1616701373.7156942,0.0002911090850830078
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 200, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 589.731053903, ""utc_time"": 1616701373.6388364, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701373726}",0,0,1616701373.7160408,0.0003466606140136719
l99/${deviceId}/evt/read,"[{""address"": ""%I0.5"", ""keys"": [""IN6"", ""printer.data_ready"", ""J2.P6"", ""SX1.P5""], ""value"": 0, ""_ts"": 1616701375227}]",0,0,1616701375.206482,1.490441083908081
l99/${deviceId}/cmd/runstate/action=run,{},0,0,1616701376.070973,0.8644909858703613
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 300, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 592.427320334, ""utc_time"": 1616701376.3351045, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701376428}",0,0,1616701376.40719,0.33621716499328613
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 0, ""_ts"": 1616701376429}]",0,0,1616701376.4102778,0.003087759017944336
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 592.44379634, ""utc_time"": 1616701376.3515809, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701376429}",0,0,1616701376.410617,0.00033926963806152344
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 0, ""_ts"": 1616701376430}]",0,0,1616701376.4109251,0.00030803680419921875
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.9"", ""keys"": [""OUT10"", ""andon.green"", ""J3.P7"", ""SX2.P9""], ""value"": 1, ""_ts"": 1616701376430}, {""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 1, ""_ts"": 1616701376430}]",0,0,1616701376.4115012,0.000576019287109375
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_sensor_one"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 592.447980109, ""updated"": 592.518187181, ""count"": 8}}, ""cpu_time"": 592.452683929, ""utc_time"": 1616701376.3604677, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701376431}",0,0,1616701376.413342,0.001840829849243164
