topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""apply_label"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 631.600522189, ""updated"": 646.647491877, ""count"": 1496}}, ""cpu_time"": 646.653571906, ""utc_time"": 1616701430.5613558, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701430564}",0,0,1616701430.544734,0.0004119873046875
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.6"", ""keys"": [""OUT7"", ""tamp.cylinder"", ""J5.3"", ""SX2.P6""], ""value"": 1, ""_ts"": 1616701430659}]",0,0,1616701430.637734,0.09299993515014648
l99/${deviceId}/evt/read,"[{""address"": ""%M55.2"", ""keys"": [""metric.fault_count""], ""value"": 30, ""_ts"": 1616701430860}]",0,0,1616701430.838206,0.20047211647033691
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.5"", ""keys"": [""OUT6"", ""tamp.vacuum"", ""J5.2"", ""SX2.P5""], ""value"": 0, ""_ts"": 1616701430861}, {""address"": ""%Q0.6"", ""keys"": [""OUT7"", ""tamp.cylinder"", ""J5.3"", ""SX2.P6""], ""value"": 0, ""_ts"": 1616701430861}, {""address"": ""%Q0.9"", ""keys"": [""OUT10"", ""andon.green"", ""J3.P7"", ""SX2.P9""], ""value"": 0, ""_ts"": 1616701430861}, {""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 1, ""_ts"": 1616701430861}, {""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 0, ""_ts"": 1616701430861}]",0,0,1616701430.841944,0.003737926483154297
l99/${deviceId}/evt/read,"[{""address"": ""%Q1.0"", ""keys"": [""web.take_up_motor_state""], ""value"": 0, ""_ts"": 1616701430861}]",0,0,1616701430.842358,0.00041413307189941406
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 631.600522189, ""updated"": 646.949218449, ""count"": 1525}, ""2"": {""description"": ""cylinder did not leave home (head up)"", ""hard"": true, ""added"": 646.873092173, ""updated"": 646.873094636, ""count"": 1}}, ""cpu_time"": 646.884281833, ""utc_time"": 1616701430.792066, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701430862}",0,0,1616701430.842906,0.0005478858947753906
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 1, ""_ts"": 1616701430863}]",0,0,1616701430.8434281,0.0005221366882324219
l99/${deviceId}/cmd/runstate/action=stop,{},0,0,1616701437.099637,6.256208896636963
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 100, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 653.419877346, ""utc_time"": 1616701437.3276594, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701437398}",0,0,1616701437.375991,0.2763540744781494
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 0, ""_ts"": 1616701437399}]",0,0,1616701437.379166,0.0031747817993164062
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 200, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 653.432616787, ""utc_time"": 1616701437.340399, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701437399}",0,0,1616701437.379522,0.0003561973571777344
l99/${deviceId}/cmd/runstate/action=run,{},0,0,1616701449.711256,12.33173394203186
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 300, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 665.921114687, ""utc_time"": 1616701449.828896, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701449909}",0,0,1616701449.8861408,0.17488479614257812
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 0, ""_ts"": 1616701449909}]",0,0,1616701449.889187,0.003046274185180664
l99/${deviceId}/evt/read,"[{""address"": ""%Q1.0"", ""keys"": [""web.take_up_motor_state""], ""value"": 1, ""_ts"": 1616701449910}]",0,0,1616701449.889633,0.0004458427429199219
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 665.934736844, ""utc_time"": 1616701449.8425186, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701449910}",0,0,1616701449.890254,0.0006210803985595703
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 0, ""_ts"": 1616701449910}]",0,0,1616701449.89052,0.00026607513427734375
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.9"", ""keys"": [""OUT10"", ""andon.green"", ""J3.P7"", ""SX2.P9""], ""value"": 1, ""_ts"": 1616701449910}, {""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 1, ""_ts"": 1616701449910}]",0,0,1616701449.890744,0.0002238750457763672
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_sensor_one"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 665.941616643, ""updated"": 666.001821341, ""count"": 7}}, ""cpu_time"": 665.944063948, ""utc_time"": 1616701449.851846, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701449911}",0,0,1616701449.890959,0.00021505355834960938
